CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,MES_REFERENCIA,QT_FAMILIAS_POBREZA_FAIXA_PBF,QT_FAMILIAS_ATE_MEIO_SM,QT_FAMILIAS_ACIMA_MEIO_SM
120001,ACRELÂNDIA,AC,08/2026,1911,2864,1444
120005,ASSIS BRASIL,AC,08/2026,1830,2385,558
120010,BRASILÉIA,AC,08/2026,5087,6309,2006
120013,BUJARI,AC,08/2026,1757,2703,1135
120017,CAPIXABA,AC,08/2026,1768,2460,1289
120020,CRUZEIRO DO SUL,AC,08/2026,13266,17567,4186
120025,EPITACIOLÂNDIA,AC,08/2026,2412,3476,1335
120030,FEIJÓ,AC,08/2026,5446,7470,1315
120032,JORDÃO,AC,08/2026,1660,2014,345
120033,MÂNCIO LIMA,AC,08/2026,4570,5357,895
120034,MANOEL URBANO,AC,08/2026,2436,3130,981
120035,MARECHAL THAUMATURGO,AC,08/2026,3372,4135,811
120038,PLÁCIDO DE CASTRO,AC,08/2026,1860,2792,1294
120039,PORTO WALTER,AC,08/2026,2195,2578,441
120040,RIO BRANCO,AC,08/2026,39639,57364,26791
120042,RODRIGUES ALVES,AC,08/2026,2819,3537,786
120043,SANTA ROSA DO PURUS,AC,08/2026,1019,1340,421
120045,SENADOR GUIOMARD,AC,08/2026,3003,4173,1939
120050,SENA MADUREIRA,AC,08/2026,8496,10944,2681
120060,TARAUACÁ,AC,08/2026,8451,10622,2338
120070,XAPURI,AC,08/2026,2546,3649,1364
120080,PORTO ACRE,AC,08/2026,4334,5293,1920
270010,ÁGUA BRANCA,AL,08/2026,2844,3889,1526
270020,ANADIA,AL,08/2026,3627,4221,1253
270030,ARAPIRACA,AL,08/2026,26095,35566,13396
270040,ATALAIA,AL,08/2026,5831,7806,3254
270050,BARRA DE SANTO ANTÔNIO,AL,08/2026,4065,4689,1583
270060,BARRA DE SÃO MIGUEL,AL,08/2026,1185,1756,819
270070,BATALHA,AL,08/2026,4622,5271,1374
270080,BELÉM,AL,08/2026,715,984,571
270090,BELO MONTE,AL,08/2026,1703,1929,453
270100,BOCA DA MATA,AL,08/2026,4690,5679,2088
270110,BRANQUINHA,AL,08/2026,1746,2356,1185
270120,CACIMBINHAS,AL,08/2026,1574,2195,694
270130,CAJUEIRO,AL,08/2026,3570,4414,1737
270135,CAMPESTRE,AL,08/2026,1361,1668,630
270140,CAMPO ALEGRE,AL,08/2026,5263,6649,3066
270150,CAMPO GRANDE,AL,08/2026,2844,3093,629
270160,CANAPI,AL,08/2026,3535,4314,912
270170,CAPELA,AL,08/2026,1743,2522,1073
270180,CARNEIROS,AL,08/2026,2123,2535,716
270190,CHÃ PRETA,AL,08/2026,2180,2384,633
270200,COITÉ DO NÓIA,AL,08/2026,2026,2549,907
270210,COLÔNIA LEOPOLDINA,AL,08/2026,4576,5163,1401
270220,COQUEIRO SECO,AL,08/2026,932,1257,536
270230,CORURIPE,AL,08/2026,8856,11133,4567
270235,CRAÍBAS,AL,08/2026,5489,6703,2109
270240,DELMIRO GOUVEIA,AL,08/2026,7994,10798,4762
270250,DOIS RIACHOS,AL,08/2026,2629,3153,1136
270255,ESTRELA DE ALAGOAS,AL,08/2026,3420,4153,1744
270260,FEIRA GRANDE,AL,08/2026,4627,5616,1368
270270,FELIZ DESERTO,AL,08/2026,666,893,373
270280,FLEXEIRAS,AL,08/2026,2082,2808,1488
270290,GIRAU DO PONCIANO,AL,08/2026,7624,8821,1862
270300,IBATEGUARA,AL,08/2026,2445,3116,1409
270310,IGACI,AL,08/2026,4162,5538,2086
270320,IGREJA NOVA,AL,08/2026,3639,4873,2191
270330,INHAPI,AL,08/2026,4000,4720,1334
270340,JACARÉ DOS HOMENS,AL,08/2026,1305,1510,583
270350,JACUÍPE,AL,08/2026,1112,1447,758
270360,JAPARATINGA,AL,08/2026,2878,3288,966
270370,JARAMATAIA,AL,08/2026,983,1275,382
270375,JEQUIÁ DA PRAIA,AL,08/2026,2736,3203,1021
270380,JOAQUIM GOMES,AL,08/2026,4346,5216,1981
270390,JUNDIÁ,AL,08/2026,951,1136,453
270400,JUNQUEIRO,AL,08/2026,3451,5008,1933
270410,LAGOA DA CANOA,AL,08/2026,3785,4777,1705
270420,LIMOEIRO DE ANADIA,AL,08/2026,6209,7212,1682
270430,MACEIÓ,AL,08/2026,107676,151186,81176
270440,MAJOR ISIDORO,AL,08/2026,2799,3777,1506
270450,MARAGOGI,AL,08/2026,6292,7744,2201
270460,MARAVILHA,AL,08/2026,2552,3036,1393
270470,MARECHAL DEODORO,AL,08/2026,8845,11610,4639
270480,MARIBONDO,AL,08/2026,1970,2599,1125
270490,MAR VERMELHO,AL,08/2026,529,730,271
270500,MATA GRANDE,AL,08/2026,4098,4803,988
270510,MATRIZ DE CAMARAGIBE,AL,08/2026,4205,5258,1912
270520,MESSIAS,AL,08/2026,2001,3084,1520
270530,MINADOR DO NEGRÃO,AL,08/2026,1074,1302,548
270540,MONTEIRÓPOLIS,AL,08/2026,1628,1996,686
270550,MURICI,AL,08/2026,3641,5242,2656
270560,NOVO LINO,AL,08/2026,2233,2702,1071
270570,OLHO DÁGUA DAS FLORES,AL,08/2026,3670,4548,1802
270580,OLHO DÁGUA DO CASADO,AL,08/2026,2134,2549,903
270590,OLHO DÁGUA GRANDE,AL,08/2026,1119,1312,260
270600,OLIVENÇA,AL,08/2026,2447,2873,639
270610,OURO BRANCO,AL,08/2026,2689,3233,819
270620,PALESTINA,AL,08/2026,997,1207,439
270630,PALMEIRA DOS ÍNDIOS,AL,08/2026,13946,17041,5484
270640,PÃO DE AÇÚCAR,AL,08/2026,3867,5061,1980
270642,PARICONHA,AL,08/2026,2044,2814,1035
270644,PARIPUEIRA,AL,08/2026,2344,3294,1085
270650,PASSO DE CAMARAGIBE,AL,08/2026,2493,3227,1256
270660,PAULO JACINTO,AL,08/2026,1371,1731,520
270670,PENEDO,AL,08/2026,12580,15894,7321
270680,PIAÇABUÇU,AL,08/2026,5570,6079,1502
270690,PILAR,AL,08/2026,6605,8557,4003
270700,PINDOBA,AL,08/2026,382,508,212
270710,PIRANHAS,AL,08/2026,4341,5666,1838
270720,POÇO DAS TRINCHEIRAS,AL,08/2026,2944,3515,993
270730,PORTO CALVO,AL,08/2026,4182,5420,2260
270740,PORTO DE PEDRAS,AL,08/2026,1804,2267,709
270750,PORTO REAL DO COLÉGIO,AL,08/2026,5032,5816,1381
270760,QUEBRANGULO,AL,08/2026,2002,2628,1043
270770,RIO LARGO,AL,08/2026,13088,18461,10357
270780,ROTEIRO,AL,08/2026,1573,1903,533
270790,SANTA LUZIA DO NORTE,AL,08/2026,1423,1693,631
270800,SANTANA DO IPANEMA,AL,08/2026,7853,10042,3704
270810,SANTANA DO MUNDAÚ,AL,08/2026,2088,2722,1354
270820,SÃO BRÁS,AL,08/2026,1419,1760,574
270830,SÃO JOSÉ DA LAJE,AL,08/2026,3007,3920,1828
270840,SÃO JOSÉ DA TAPERA,AL,08/2026,5473,7127,2468
270850,SÃO LUÍS DO QUITUNDE,AL,08/2026,6030,7150,2162
270860,SÃO MIGUEL DOS CAMPOS,AL,08/2026,8675,11117,5466
270870,SÃO MIGUEL DOS MILAGRES,AL,08/2026,1500,2060,1047
270880,SÃO SEBASTIÃO,AL,08/2026,6298,7835,2596
270890,SATUBA,AL,08/2026,2154,3217,1430
270895,SENADOR RUI PALMEIRA,AL,08/2026,2834,3430,960
270900,TANQUE DARCA,AL,08/2026,996,1283,536
270910,TAQUARANA,AL,08/2026,3574,4463,1615
270915,TEOTÔNIO VILELA,AL,08/2026,5802,7975,3821
270920,TRAIPU,AL,08/2026,4105,5390,1996
270930,UNIÃO DOS PALMARES,AL,08/2026,9646,13383,7068
270940,VIÇOSA,AL,08/2026,4599,5697,2055
130002,ALVARÃES,AM,08/2026,3107,3940,943
130006,AMATURÁ,AM,08/2026,2410,3232,1175
130008,ANAMÃ,AM,08/2026,2583,3129,776
130010,ANORI,AM,08/2026,4124,4621,1224
130014,APUÍ,AM,08/2026,1901,3002,1800
130020,ATALAIA DO NORTE,AM,08/2026,1721,2626,829
130030,AUTAZES,AM,08/2026,15834,17670,4142
130040,BARCELOS,AM,08/2026,2998,4054,1305
130050,BARREIRINHA,AM,08/2026,5545,7196,1681
130060,BENJAMIN CONSTANT,AM,08/2026,7176,8892,1974
130063,BERURI,AM,08/2026,5506,6251,1437
130068,BOA VISTA DO RAMOS,AM,08/2026,3596,4330,913
130070,BOCA DO ACRE,AM,08/2026,5879,7506,2416
130080,BORBA,AM,08/2026,6287,7781,1847
130083,CAAPIRANGA,AM,08/2026,2345,2895,792
130090,CANUTAMA,AM,08/2026,2991,3878,1240
130100,CARAUARI,AM,08/2026,5899,7292,1701
130110,CAREIRO,AM,08/2026,5308,7097,3052
130115,CAREIRO DA VÁRZEA,AM,08/2026,4065,5157,1535
130120,COARI,AM,08/2026,14003,17520,4706
130130,CODAJÁS,AM,08/2026,3745,5032,1652
130140,EIRUNEPÉ,AM,08/2026,5882,7477,1727
130150,ENVIRA,AM,08/2026,4003,4791,952
130160,FONTE BOA,AM,08/2026,7007,7851,1137
130165,GUAJARÁ,AM,08/2026,3135,3830,539
130170,HUMAITÁ,AM,08/2026,12052,14233,5531
130180,IPIXUNA,AM,08/2026,4732,5228,491
130185,IRANDUBA,AM,08/2026,13542,16840,6174
130190,ITACOATIARA,AM,08/2026,13608,19360,7287
130195,ITAMARATI,AM,08/2026,1921,2636,511
130200,ITAPIRANGA,AM,08/2026,1757,2527,1184
130210,JAPURÁ,AM,08/2026,1334,1842,484
130220,JURUÁ,AM,08/2026,2915,3230,949
130230,JUTAÍ,AM,08/2026,4587,5801,929
130240,LÁBREA,AM,08/2026,12228,14105,4156
130250,MANACAPURU,AM,08/2026,19233,25021,6477
130255,MANAQUIRI,AM,08/2026,3928,4720,1837
130260,MANAUS,AM,08/2026,262809,362470,155863
130270,MANICORÉ,AM,08/2026,7095,10191,3407
130280,MARAÃ,AM,08/2026,2794,3671,685
130290,MAUÉS,AM,08/2026,13876,16021,4974
130300,NHAMUNDÁ,AM,08/2026,4145,4965,1587
130310,NOVA OLINDA DO NORTE,AM,08/2026,5528,6958,2268
130320,NOVO AIRÃO,AM,08/2026,1998,3170,1252
130330,NOVO ARIPUANÃ,AM,08/2026,3890,4727,1477
130340,PARINTINS,AM,08/2026,20299,24654,6923
130350,PAUINI,AM,08/2026,2912,3851,628
130353,PRESIDENTE FIGUEIREDO,AM,08/2026,5052,6790,3148
130356,RIO PRETO DA EVA,AM,08/2026,3038,4406,1501
130360,SANTA ISABEL DO RIO NEGRO,AM,08/2026,2274,2887,681
130370,SANTO ANTÔNIO DO IÇÁ,AM,08/2026,3524,5575,1322
130380,SÃO GABRIEL DA CACHOEIRA,AM,08/2026,7580,10184,1635
130390,SÃO PAULO DE OLIVENÇA,AM,08/2026,7005,8456,1926
130395,SÃO SEBASTIÃO DO UATUMÃ,AM,08/2026,2354,2777,870
130400,SILVES,AM,08/2026,2011,2580,911
130406,TABATINGA,AM,08/2026,9793,13437,3562
130410,TAPAUÁ,AM,08/2026,4014,5449,1487
130420,TEFÉ,AM,08/2026,11395,15971,5321
130423,TONANTINS,AM,08/2026,3357,4337,916
130426,UARINI,AM,08/2026,3849,4258,978
130430,URUCARÁ,AM,08/2026,3487,4262,1354
130440,URUCURITUBA,AM,08/2026,4735,5411,1436
160005,SERRA DO NAVIO,AP,08/2026,733,977,554
160010,AMAPÁ,AP,08/2026,1954,2297,574
160015,PEDRA BRANCA DO AMAPARI,AP,08/2026,2439,3013,1077
160020,CALÇOENE,AP,08/2026,1891,2460,858
160021,CUTIAS,AP,08/2026,943,1264,500
160023,FERREIRA GOMES,AP,08/2026,863,1282,561
160025,ITAUBAL,AP,08/2026,2352,2568,680
160027,LARANJAL DO JARI,AP,08/2026,7057,8843,3689
160030,MACAPÁ,AP,08/2026,68625,89753,35563
160040,MAZAGÃO,AP,08/2026,5070,6364,1897
160050,OIAPOQUE,AP,08/2026,6605,8844,3095
160053,PORTO GRANDE,AP,08/2026,3658,4525,1760
160055,PRACUÚBA,AP,08/2026,1163,1309,267
160060,SANTANA,AP,08/2026,17260,23815,9998
160070,TARTARUGALZINHO,AP,08/2026,2745,3502,1376
160080,VITÓRIA DO JARI,AP,08/2026,2223,2898,844
290010,ABAÍRA,BA,08/2026,1678,2043,1312
290020,ABARÉ,BA,08/2026,4015,4911,1286
290030,ACAJUTIBA,BA,08/2026,2998,3691,1395
290035,ADUSTINA,BA,08/2026,3193,3902,1412
290040,ÁGUA FRIA,BA,08/2026,4826,5366,1832
290050,ÉRICO CARDOSO,BA,08/2026,1295,1751,831
290060,AIQUARA,BA,08/2026,851,1110,694
290070,ALAGOINHAS,BA,08/2026,23669,31030,14172
290080,ALCOBAÇA,BA,08/2026,4395,5995,2702
290090,ALMADINA,BA,08/2026,1320,1520,1022
290100,AMARGOSA,BA,08/2026,4865,7538,3813
290110,AMÉLIA RODRIGUES,BA,08/2026,2860,4330,2383
290115,AMÉRICA DOURADA,BA,08/2026,2807,3741,1428
290120,ANAGÉ,BA,08/2026,5585,6453,2534
290130,ANDARAÍ,BA,08/2026,2415,3166,1452
290135,ANDORINHA,BA,08/2026,3317,3983,2196
290140,ANGICAL,BA,08/2026,2756,3286,1513
290150,ANGUERA,BA,08/2026,2188,2589,1120
290160,ANTAS,BA,08/2026,2728,3160,857
290170,ANTÔNIO CARDOSO,BA,08/2026,2445,2952,1138
290180,ANTÔNIO GONÇALVES,BA,08/2026,2101,2514,1012
290190,APORÁ,BA,08/2026,3962,4630,1196
290195,APUAREMA,BA,08/2026,1542,1926,903
290200,ARACATU,BA,08/2026,2260,3149,1972
290205,ARAÇÁS,BA,08/2026,3091,3742,1376
290210,ARACI,BA,08/2026,11736,14073,4312
290220,ARAMARI,BA,08/2026,2430,2998,1264
