SG_UF,n,taxa_real_alfabetizacao,accuracy,precision,recall
RN,9286,0.4262016168464743,0.5989311732510894,0.5335341178109875,0.46910593352980823
SE,6570,0.4296436709394401,0.4484940027608003,0.43681500928340566,0.9804256769093393
RS,32759,0.4612201059613507,0.6155563059638134,0.6190696332071136,0.4327410261853795
RR,3531,0.48101115910792613,0.5207765963281754,0.5010912531477751,0.8533246126952192
BA,41312,0.49025254032968996,0.5516817467224279,0.5311121367336843,0.730088995382233
AM,17497,0.5060888625431375,0.5177942252104981,0.5123116455794214,0.9818650969231393
PA,31236,0.512418283564918,0.5332750151621657,0.5251089476913213,0.9324355127884894
RJ,45533,0.5125087598625773,0.5927241012488935,0.5761953571478764,0.7763567535837865
AP,3731,0.5302923269660011,0.5302923269660011,0.5302923269660033,1.0
TO,6260,0.5401984020116911,0.5401984020116911,0.5401984020116911,1.0
SP,136891,0.5431170212118133,0.5447596013620283,0.5441962170099456,0.9961399751415376
DF,8384,0.5583261533415864,0.5583261533415864,0.558326153341584,1.0
SC,28728,0.5628931218691153,0.5716132984103539,0.569970930482526,0.9732448946908557
AC,3875,0.5800244633881289,0.5800244633881289,0.5800244633881292,1.0
MS,12309,0.5999793482580233,0.6021984425496107,0.6013902754386625,0.9993721613314626
AL,10593,0.607301457605695,0.607301457605695,0.6073014576056968,1.0
PE,25790,0.6110981635524682,0.6110981635524682,0.6110981635524815,1.0
RO,7929,0.6142593636413352,0.6142593636413352,0.6142593636413335,1.0
MA,22379,0.6327141618534401,0.6327141618534401,0.6327141618534539,1.0
PB,11401,0.6486270563952503,0.6486270563952503,0.6486270563952538,1.0
MG,65220,0.6654336051038925,0.6654336051038925,0.6654336051038509,1.0
MT,15490,0.7044735461127413,0.7044735461127413,0.7044735461127357,1.0
PR,42580,0.7068699602491919,0.7068699602491919,0.7068699602491296,1.0
ES,14705,0.7137458752683598,0.7137458752683598,0.7137458752683589,1.0
GO,24129,0.7225295852709542,0.7225295852709542,0.7225295852709586,1.0
PI,10422,0.7236633788817587,0.7236633788817587,0.7236633788817575,1.0
CE,28298,0.8080586407388768,0.8080586407388768,0.8080586407388836,1.0
