SG_UF,n,taxa_real_alfabetizacao,accuracy,precision,recall
RN,9286,0.4262016168464743,0.5677694171607947,0.4944778531028311,0.6333395880466991
SE,6570,0.4296436709394401,0.4296436709394401,0.42964367093943895,1.0
RS,32759,0.4612201059613507,0.6230588311390306,0.6145847376305102,0.49004483840800506
RR,3531,0.48101115910792613,0.49185805162340507,0.4858854192693162,0.9708299487721105
BA,41312,0.49025254032968996,0.5512636340216266,0.5297469313239187,0.7540389111058017
AM,17497,0.5060888625431375,0.5060888625431375,0.5060888625431429,1.0
PA,31236,0.512418283564918,0.5322031552108051,0.5242904750709718,0.9397772242969537
RJ,45533,0.5125087598625773,0.5903351452727995,0.5733740052471019,0.7840487086503208
AP,3731,0.5302923269660011,0.5302923269660011,0.5302923269660033,1.0
TO,6260,0.5401984020116911,0.5401984020116911,0.5401984020116911,1.0
SP,136891,0.5431170212118133,0.5447596013620283,0.5441962170099456,0.9961399751415376
DF,8384,0.5583261533415864,0.5583261533415864,0.558326153341584,1.0
SC,28728,0.5628931218691153,0.5679684475321546,0.5670179012368477,0.9834723034348337
AC,3875,0.5800244633881289,0.5800244633881289,0.5800244633881292,1.0
MS,12309,0.5999793482580233,0.6021984425496107,0.6013902754386625,0.9993721613314626
AL,10593,0.607301457605695,0.607301457605695,0.6073014576056968,1.0
PE,25790,0.6110981635524682,0.6110981635524682,0.6110981635524815,1.0
RO,7929,0.6142593636413352,0.6142593636413352,0.6142593636413335,1.0
MA,22379,0.6327141618534401,0.6327141618534401,0.6327141618534539,1.0
PB,11401,0.6486270563952503,0.6486270563952503,0.6486270563952538,1.0
MG,65220,0.6654336051038925,0.6654336051038925,0.6654336051038509,1.0
MT,15490,0.7044735461127413,0.7044735461127413,0.7044735461127357,1.0
PR,42580,0.7068699602491919,0.7068699602491919,0.7068699602491296,1.0
ES,14705,0.7137458752683598,0.7137458752683598,0.7137458752683589,1.0
GO,24129,0.7225295852709542,0.7225295852709542,0.7225295852709586,1.0
PI,10422,0.7236633788817587,0.7236633788817587,0.7236633788817575,1.0
CE,28298,0.8080586407388768,0.8080586407388768,0.8080586407388836,1.0
