SG_UF,n,taxa_real_alfabetizacao,accuracy,precision,recall
RN,9286,0.4262016168464743,0.6081039267650439,0.5986730548035344,0.24418014940997843
SE,6570,0.4296436709394401,0.6034797149813389,0.5503858792130428,0.42107043807106653
RS,32759,0.4612201059613507,0.6268930045802857,0.6125246745516221,0.5199698098603949
RR,3531,0.48101115910792613,0.5556822333831478,0.5289054191831786,0.6979132826431541
BA,41312,0.49025254032968996,0.5831065872776215,0.5771762002049176,0.5595376727986708
AM,17497,0.5060888625431375,0.5540335927629413,0.5879596450662622,0.3970488874175617
PA,31236,0.512418283564918,0.5747804514341986,0.5746295203142947,0.655138096511787
RJ,45533,0.5125087598625773,0.597120973152284,0.5889344668016832,0.7082619879486405
AP,3731,0.5302923269660011,0.60835579430982,0.6004566732289864,0.7813966307736376
TO,6260,0.5401984020116911,0.5673536426289362,0.5804007482119433,0.7186265419916378
SP,136891,0.5431170212118133,0.577536141452537,0.5956365984453993,0.6917872523368549
DF,8384,0.5583261533415864,0.5583261533415864,0.558326153341584,1.0
SC,28728,0.5628931218691153,0.600325220346832,0.6125888839825423,0.7888358187520869
AC,3875,0.5800244633881289,0.5911369162373805,0.5960261869125432,0.9158094680621335
MS,12309,0.5999793482580233,0.613933034383273,0.6184000141923988,0.931080784764571
AL,10593,0.607301457605695,0.6274683026874075,0.6618584277407993,0.7903830593511371
PE,25790,0.6110981635524682,0.6211360482053202,0.6230996938467009,0.9618022513406481
RO,7929,0.6142593636413352,0.6296058345268645,0.673877690402664,0.7693168798796841
MA,22379,0.6327141618534401,0.6327141618534401,0.6327141618534539,1.0
PB,11401,0.6486270563952503,0.6583958528767464,0.664953864770361,0.9540579299281564
MG,65220,0.6654336051038925,0.6666861786210234,0.6686977912509271,0.9891918137634861
MT,15490,0.7044735461127413,0.7044735461127413,0.7044735461127357,1.0
PR,42580,0.7068699602491919,0.7068699602491919,0.7068699602491296,1.0
ES,14705,0.7137458752683598,0.7137458752683598,0.7137458752683589,1.0
GO,24129,0.7225295852709542,0.7225295852709542,0.7225295852709586,1.0
PI,10422,0.7236633788817587,0.7236633788817587,0.7236633788817575,1.0
CE,28298,0.8080586407388768,0.8080586407388768,0.8080586407388836,1.0
