param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,mean_test_score,std_test_score,rank_test_score
,98,148,0.6436592230579129,0.0019415752964502826,1
20,81,288,0.6436478669796426,0.001909528985167252,2
20,84,187,0.6434589950184633,0.0019981912483845957,3
30,102,370,0.6434410058396237,0.0017974028572441268,4
,109,251,0.6431470444780251,0.0018427381334640228,5
,112,221,0.6428047576237934,0.0017508066322643758,6
30,167,393,0.6404149239101652,0.001629369621315418,7
20,159,357,0.639910115611038,0.0017228854517315384,8
15,197,376,0.6366099251202123,0.0017670522634830083,9
10,67,121,0.6337490112318691,0.0016819338539474317,10
