CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,REGIAO,CLUSTER,PC_ALUNO_ALFABETIZADO,DISTANCIA_META_2030,PC_FAMILIAS_POBREZA,RENDA_PER_CAPITA_MEDIA,MEDIA_INSE,PC_ESCOLAS_BIBLIOTECA,PC_ESCOLAS_LAB_INFORMATICA,PC_ESCOLAS_INTERNET_ALUNOS
1100015,Alta Floresta D'Oeste,RO,Norte,1,78.15,-1.85,19.69309462915601,1210.6,4.898461538461539,0.23076923076923078,0.19230769230769232,0.46153846153846156
1100023,Ariquemes,RO,Norte,1,79.5,-0.5,25.030112419700213,1458.57,4.8789655172413795,0.6181818181818182,0.7636363636363637,0.8
1100031,Cabixi,RO,Norte,1,86.89,6.89,18.83967560823456,1323.79,4.9525,0.6666666666666666,0.5555555555555556,0.6666666666666666
1100049,Cacoal,RO,Norte,1,84.77,4.77,19.983556190228917,1625.88,4.949677419354838,0.5373134328358209,0.4925373134328358,0.7014925373134329
1100056,Cerejeiras,RO,Norte,1,89.69,9.69,20.074435915329147,1554.33,5.0275,0.4666666666666667,0.5333333333333333,0.6666666666666666
1100064,Colorado Do Oeste,RO,Norte,1,78.27,-1.73,11.21246674268339,1666.54,5.135,0.6666666666666666,0.4,0.7333333333333333
1100072,Corumbiara,RO,Norte,1,91.15,11.15,11.82205971968312,1234.62,4.881428571428572,0.5,0.75,0.75
1100080,Costa Marques,RO,Norte,0,75.04,-4.96,29.858356940509918,1088.06,4.753333333333333,0.5714285714285714,0.2857142857142857,0.42857142857142855
1100098,Espigão D'Oeste,RO,Norte,1,81.85,1.85,11.978253244475622,1371.66,4.833333333333333,0.5416666666666666,0.4166666666666667,0.9583333333333334
1100106,Guajará-Mirim,RO,Norte,0,71.04,-8.96,31.426530744756835,1035.94,4.768888888888889,0.3114754098360656,0.29508196721311475,0.4098360655737705
1100114,Jaru,RO,Norte,1,87.39,7.39,16.379115497626763,1406.29,4.8986363636363635,0.42857142857142855,0.42857142857142855,0.7380952380952381
1100122,Ji-Paraná,RO,Norte,1,75.63,-4.37,21.78574729642296,1437.55,4.9676086956521734,0.5252525252525253,0.5757575757575758,0.6868686868686869
