param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,mean_test_score,std_test_score,rank_test_score
,20,300,0.7717891060329277,0.01171632320057308,1
,20,200,0.7713582552243314,0.012090597380010547,2
,5,300,0.7712689173142804,0.012278967037903547,3
,5,200,0.7708146287364082,0.012335383215922481,4
,20,100,0.7707736504866312,0.011549762964140379,5
,5,100,0.7704923066941595,0.012154239117185606,6
8,5,300,0.7685076128821224,0.011373047130752706,7
8,5,200,0.7681712389915812,0.011441278289979512,8
8,5,100,0.7681638724493347,0.012006283424846319,9
8,20,300,0.765211002775632,0.010798710850512172,10
8,20,200,0.7652064422777349,0.010458756014666889,11
8,20,100,0.7649955483106627,0.011009118498032851,12
,50,300,0.7628397331013888,0.013264479224441272,13
,50,200,0.7626068800801263,0.013382132255909944,14
,50,100,0.7624600317775061,0.012817401262955715,15
6,5,100,0.7605112806091657,0.013063965881334566,16
6,5,200,0.7601984289665958,0.013230644936448535,17
6,5,300,0.759730426455213,0.013401825147008379,18
8,50,100,0.75912995729433,0.013447197887726636,19
8,50,200,0.7591013818687092,0.013373673184813133,20
8,50,300,0.7590677471829734,0.013717678336483968,21
6,20,300,0.7577248454546744,0.013111228509203612,22
6,20,100,0.7576829305051218,0.013818880774604596,23
6,20,200,0.757676914270344,0.013232766509797766,24
6,50,300,0.7535847689642845,0.014340408178589748,25
6,50,200,0.7535360808508424,0.014298590797983924,26
6,50,100,0.7522918921403049,0.014620441953306583,27
4,5,200,0.7443131327876685,0.015967046275089672,28
4,5,300,0.7439950799607749,0.015720653245092496,29
4,20,200,0.7438156539698568,0.016047403758968192,30
4,5,100,0.743529698316441,0.016249508566898954,31
4,20,300,0.743417947194733,0.015775802997975815,32
4,50,200,0.7422540389264312,0.01670248187439124,33
4,20,100,0.7421138009127753,0.016148281449037044,34
4,50,300,0.7419424044529058,0.01663503101067891,35
4,50,100,0.7410453596528399,0.016754591909510945,36
