CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4317103,RS,Sul,46.58,0.9432202380177326,True,True
4311007,RS,Sul,43.39,0.9344029118204383,True,True
4305124,RS,Sul,53.7,0.9293124041726561,True,True
4304200,RS,Sul,67.34,0.9290920036253599,True,True
4320354,RS,Sul,49.74,0.9278863583047786,True,True
4301602,RS,Sul,51.19,0.9272917445971319,True,True
4323002,RS,Sul,41.05,0.9255305415945171,True,True
4300604,RS,Sul,40.52,0.9254486488618787,True,True
4315701,RS,Sul,60.27,0.9247646323044347,True,True
4302303,RS,Sul,53.59,0.9243449874293564,True,True
4306601,RS,Sul,47.54,0.9234097016358385,True,True
4304689,RS,Sul,60.36,0.9216428480983074,True,True
4302808,RS,Sul,41.46,0.9193426363023194,True,True
4310603,RS,Sul,50.99,0.9178440645171829,True,True
4313953,RS,Sul,54.92,0.9174211471364528,True,True
4321600,RS,Sul,42.55,0.9158926507287983,True,True
4306973,RS,Sul,66.67,0.9158489775334514,True,True
4309308,RS,Sul,41.23,0.9155255396770053,True,True
4309654,RS,Sul,53.13,0.9118322410154455,True,True
4308300,RS,Sul,53.09,0.9102519431021877,True,True
4309209,RS,Sul,45.99,0.9100606257952912,True,True
4321352,RS,Sul,58.54,0.9063051660740927,True,True
4318408,RS,Sul,48.9,0.9061932674239701,True,True
4303004,RS,Sul,45.72,0.9057832584076156,True,True
4318804,RS,Sul,59.21,0.9051909341269309,True,True
4312302,RS,Sul,66.67,0.9047247686303471,True,True
4319125,RS,Sul,50.0,0.9044887035297826,True,True
4306908,RS,Sul,48.96,0.9042218530345811,True,True
4321501,RS,Sul,54.92,0.9037356199215071,True,True
4313656,RS,Sul,40.77,0.9033663462783423,True,True
4321105,RS,Sul,59.22,0.9022391571769591,True,True
4312377,RS,Sul,50.0,0.9010741095195035,True,True
4304606,RS,Sul,41.9,0.9002288732438424,True,True
4314605,RS,Sul,48.11,0.9000106322971123,True,True
4314050,RS,Sul,46.4,0.8974494810992362,True,True
4318705,RS,Sul,40.39,0.8973448094618622,True,True
4306106,RS,Sul,54.37,0.8961983050053351,True,True
4307104,RS,Sul,46.57,0.8957604396881209,True,True
4301107,RS,Sul,47.4,0.8955702633149436,True,True
4315404,RS,Sul,70.31,0.8947417645876025,True,True
4322509,RS,Sul,54.67,0.8942537249710948,True,True
4313904,RS,Sul,65.01,0.8935077874729529,True,True
4316808,RS,Sul,54.44,0.8930443465602383,True,True
4303509,RS,Sul,57.06,0.8927731305812616,True,True
4317301,RS,Sul,35.87,0.8927543599338273,True,True
4314506,RS,Sul,52.31,0.8918785485889578,True,True
4305454,RS,Sul,29.89,0.8909380101555248,True,True
4322608,RS,Sul,70.15,0.8908173119814555,True,True
4313508,RS,Sul,46.42,0.8898774204143363,True,True
4313060,RS,Sul,46.88,0.8896128099747902,True,True
4307609,RS,Sul,55.99,0.889398729332655,True,True
4309001,RS,Sul,63.08,0.8892689045480984,True,True
4303103,RS,Sul,46.41,0.8885486083360263,True,True
4318002,RS,Sul,45.53,0.8866671724741579,True,True
4307450,RS,Sul,61.99,0.8866186857002075,True,True
4317608,RS,Sul,64.74,0.88560219409001,True,True
4322400,RS,Sul,60.03,0.8855930179901533,True,True
4301909,RS,Sul,37.81,0.885303566936125,True,True
4315305,RS,Sul,47.45,0.8849495891840519,True,True
4318309,RS,Sul,44.2,0.8843249106531196,True,True
4304663,RS,Sul,32.59,0.8836118378741621,True,True
4311304,RS,Sul,47.24,0.8831106652009656,True,True
4305355,RS,Sul,43.8,0.8810677719205046,True,True
4310207,RS,Sul,69.92,0.8809884286324243,True,True
4301636,RS,Sul,31.86,0.8794034577173259,True,True
4311502,RS,Sul,31.81,0.8789840958095254,True,True
4319901,RS,Sul,57.76,0.8789830387416652,True,True
4312500,RS,Sul,57.24,0.8771814143781017,True,True
4318101,RS,Sul,43.9,0.8765623566419828,True,True
4322707,RS,Sul,66.11,0.8760919346921294,True,True
4307807,RS,Sul,59.34,0.8759798202613795,True,True
4301875,RS,Sul,50.37,0.8756944924616393,True,True
4316402,RS,Sul,31.19,0.8756209938054264,True,True
4311106,RS,Sul,54.96,0.8748918021291759,True,True
4321667,RS,Sul,66.7,0.8747260885354795,True,True
4320552,RS,Sul,48.55,0.8742030715318839,True,True
4313706,RS,Sul,52.89,0.8734336591766512,True,True
4323457,RS,Sul,55.0,0.8733994299562114,True,True
4307708,RS,Sul,53.21,0.8733419759522822,True,True
4320701,RS,Sul,73.97,0.8732260267889378,True,True
4314100,RS,Sul,39.33,0.8721427387848338,True,True
4321451,RS,Sul,65.59,0.8710695693045204,True,True
4311734,RS,Sul,69.74,0.8707612449055298,True,True
4304408,RS,Sul,47.32,0.8694313106479609,True,True
4313375,RS,Sul,49.0,0.8687310035047155,True,True
4314704,RS,Sul,50.75,0.8685542797852304,True,True
4302709,RS,Sul,34.1,0.8680142176829048,True,True
4310504,RS,Sul,70.52,0.8676156429735452,True,True
4301057,RS,Sul,45.16,0.8669608344518808,True,True
4305108,RS,Sul,52.9,0.8652714217370123,True,True
4300877,RS,Sul,61.71,0.8652218424756675,True,True
4320008,RS,Sul,54.41,0.8648696458590354,True,True
4305207,RS,Sul,53.84,0.8643043738528052,True,True
4305173,RS,Sul,29.15,0.8633770158473157,True,True
4312401,RS,Sul,48.56,0.8633000901374006,True,True
4318622,RS,Sul,51.97,0.8630076711769131,True,True
4322152,RS,Sul,50.11,0.8629713245013655,True,True
4320107,RS,Sul,72.52,0.862437329295687,True,True
4306403,RS,Sul,66.94,0.8622859229386245,True,True
4304705,RS,Sul,50.67,0.8618669726934657,True,True
4319802,RS,Sul,76.56,0.8612810983930372,True,True
4302907,RS,Sul,53.36,0.8612211814754555,True,True
4317707,RS,Sul,39.53,0.8606063510568752,True,True
4318200,RS,Sul,58.94,0.8605701070339783,True,True
4314159,RS,Sul,54.31,0.8595208658715389,True,True
4306809,RS,Sul,78.1,0.8589056294142057,True,True
4316451,RS,Sul,62.32,0.8584900213390101,True,True
4317004,RS,Sul,53.33,0.8582173256331364,True,True
4317400,RS,Sul,65.61,0.8574379762202303,True,True
4314407,RS,Sul,29.25,0.8572782943248349,True,True
4322202,RS,Sul,70.38,0.8565715004616432,True,True
4321907,RS,Sul,74.99,0.8555815456592014,True,True
4305439,RS,Sul,52.67,0.8550199202208468,True,True
4308003,RS,Sul,63.08,0.8549470259587709,True,True
4322533,RS,Sul,71.43,0.8536009050391651,True,True
4311627,RS,Sul,55.75,0.8533086562749251,True,True
4317509,RS,Sul,52.21,0.8529918822524267,True,True
4302352,RS,Sul,75.7,0.8528672342245976,True,True
4318903,RS,Sul,63.18,0.8527165492143572,True,True
4320651,RS,Sul,44.44,0.8514545070271976,True,True
4312617,RS,Sul,57.89,0.850985118412545,True,True
4321303,RS,Sul,39.33,0.8507122819305216,True,True
